run,interval,reqrate,rate,resp,MB/sec,Read_rate,Read_resp,Write_rate,Write_resp,MB_read,MB_write,Xfersize,Mkdir_rate,Mkdir_resp,Rmdir_rate,Rmdir_resp,Create_rate,Create_resp,Open_rate,Open_resp,Close_rate,Close_resp,Delete_rate,Delete_resp,Getattr_rate,Getattr_resp,Setattr_rate,Setattr_resp,Copy_rate,Copy_resp,Move_rate,Move_resp,compratio,dedupratio,cpu_used,cpu_user,cpu_kernel,cpu_wait,cpu_idle
rd1,1,999988.0000,351.0000,44.4877,87.5195,0.0000,0.0000,351.0000,44.4877,0.0000,87.5195,261455,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.0000,1125.6576,2.0000,0.0465,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,27.1462,16.4733,10.6729,0.0000,0.0000
rd1,2,999988.0000,430.0000,599.5123,90.5938,0.0000,0.0000,430.0000,599.5123,0.0000,90.5938,220917,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,90.0000,1591.8416,1.0000,0.0300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,9.6280,0.8753,8.7527,0.0000,0.0000
rd1,3,999988.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,100.0000,100.0000,0.0000,0.0000,0.0000
rd1,4,999988.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,�,�,�,�,�
rd1,5,999988.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,�,�,�,�,�
rd1,6,999988.0000,1.0000,2920.8110,0.2500,0.0000,0.0000,1.0000,2920.8110,0.0000,0.2500,262144,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,�,�,�,�,�
rd1,7,999988.0000,319.0000,2192.5495,61.3711,0.0000,0.0000,319.0000,2192.5495,0.0000,61.3711,201731,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,120.0000,9484.9432,1.0000,0.0120,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,7.2438,1.0601,6.1837,0.0000,0.0000
rd1,8,999988.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,�,�,�,�,�
rd1,9,999988.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,�,�,�,�,�
rd1,10,999988.0000,2.0000,37.9340,0.0625,0.0000,0.0000,2.0000,37.9340,0.0000,0.0625,32768,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,100.0000,100.0000,0.0000,0.0000,0.0000
rd1,11,999988.0000,3.0000,3670.4573,0.8125,0.0000,0.0000,3.0000,3670.4573,0.0000,0.8125,283989,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,�,�,�,�,�
rd1,12,999988.0000,8.0000,2405.5514,2.0977,0.0000,0.0000,8.0000,2405.5514,0.0000,2.0977,274944,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,28.5714,14.2857,14.2857,0.0000,0.0000
