run,interval,reqrate,rate,resp,MB/sec,Read_rate,Read_resp,Write_rate,Write_resp,MB_read,MB_write,Xfersize,Mkdir_rate,Mkdir_resp,Rmdir_rate,Rmdir_resp,Create_rate,Create_resp,Open_rate,Open_resp,Close_rate,Close_resp,Delete_rate,Delete_resp,Getattr_rate,Getattr_resp,Setattr_rate,Setattr_resp,Copy_rate,Copy_resp,Move_rate,Move_resp,compratio,dedupratio,cpu_used,cpu_user,cpu_kernel,cpu_wait,cpu_idle
rd1,1,999988.0000,52470.0000,0.0283,204.9609,0.0000,0.0000,52470.0000,0.0283,0.0000,204.9609,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22.0000,0.0286,18.0000,0.0198,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,36.9231,24.1026,12.8205,0.0000,0.0000
rd1,2,999988.0000,23747.0000,0.1572,92.7617,0.0000,0.0000,23747.0000,0.1572,0.0000,92.7617,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.0000,0.1656,10.0000,0.0356,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,33.0189,8.4906,24.5283,0.0000,0.0000
rd1,3,999988.0000,27595.0000,0.1393,107.7930,0.0000,0.0000,27595.0000,0.1393,0.0000,107.7930,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.0000,0.0282,11.0000,0.0278,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,29.1262,6.7961,22.3301,0.0000,0.0000
rd1,4,999988.0000,21731.0000,0.1790,84.8867,0.0000,0.0000,21731.0000,0.1790,0.0000,84.8867,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0000,0.0285,8.0000,0.1231,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,24.2991,2.8037,21.4953,0.0000,0.0000
rd1,5,999988.0000,27692.0000,0.1395,108.1719,0.0000,0.0000,27692.0000,0.1395,0.0000,108.1719,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.0000,0.0271,11.0000,0.0424,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,30.7692,11.5385,19.2308,0.0000,0.0000
rd1,6,999988.0000,29711.0000,0.1323,116.0586,0.0000,0.0000,29711.0000,0.1323,0.0000,116.0586,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.0000,0.0835,12.0000,0.0252,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,57.1429,36.1905,20.9524,0.0000,0.0000
rd1,7,999988.0000,31191.0000,0.1224,121.8398,0.0000,0.0000,31191.0000,0.1224,0.0000,121.8398,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.0000,0.0247,13.0000,0.0215,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,28.9720,3.7383,25.2336,0.0000,0.0000
rd1,8,999988.0000,28228.0000,0.1358,110.2656,0.0000,0.0000,28228.0000,0.1358,0.0000,110.2656,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.0000,0.0299,10.0000,0.0277,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,24.7619,6.6667,18.0952,0.0000,0.0000
rd1,9,999988.0000,31439.0000,0.1229,122.8086,0.0000,0.0000,31439.0000,0.1229,0.0000,122.8086,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.0000,0.0287,13.0000,0.0248,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,23.5849,4.7170,18.8679,0.0000,0.0000
rd1,10,999988.0000,24285.0000,0.1594,94.8633,0.0000,0.0000,24285.0000,0.1594,0.0000,94.8633,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.0000,0.0323,9.0000,0.0281,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,21.0000,3.0000,18.0000,0.0000,0.0000
rd1,11,999988.0000,27224.0000,0.1424,106.3438,0.0000,0.0000,27224.0000,0.1424,0.0000,106.3438,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.0000,0.0259,11.0000,0.0221,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,29.1262,8.7379,20.3883,0.0000,0.0000
rd1,12,999988.0000,27349.0000,0.1428,106.8320,0.0000,0.0000,27349.0000,0.1428,0.0000,106.8320,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.0000,0.0297,10.0000,0.0241,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,39.8058,19.4175,20.3883,0.0000,0.0000
rd1,13,999988.0000,22319.0000,0.1767,87.1836,0.0000,0.0000,22319.0000,0.1767,0.0000,87.1836,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.0000,0.0297,9.0000,0.0803,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,25.0000,11.0000,14.0000,0.0000,0.0000
rd1,14,999988.0000,28014.0000,0.1368,109.4297,0.0000,0.0000,28014.0000,0.1368,0.0000,109.4297,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.0000,0.0376,10.0000,0.0271,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,33.0357,7.1429,25.8929,0.0000,0.0000
rd1,15,999988.0000,32844.0000,0.1167,128.2969,0.0000,0.0000,32844.0000,0.1167,0.0000,128.2969,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0000,0.0287,14.0000,0.0239,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,36.5385,14.4231,22.1154,0.0000,0.0000
rd1,16,999988.0000,26593.0000,0.1476,103.8789,0.0000,0.0000,26593.0000,0.1476,0.0000,103.8789,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.0000,0.0279,10.0000,0.0238,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,20.6186,4.1237,16.4948,0.0000,0.0000
rd1,17,999988.0000,26620.0000,0.1449,103.9844,0.0000,0.0000,26620.0000,0.1449,0.0000,103.9844,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.0000,0.0281,11.0000,0.0240,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,26.6055,2.7523,23.8532,0.0000,0.0000
rd1,18,999988.0000,32054.0000,0.1166,125.2109,0.0000,0.0000,32054.0000,0.1166,0.0000,125.2109,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.0000,0.0848,12.0000,0.0261,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,32.0388,7.7670,24.2718,0.0000,0.0000
rd1,19,999988.0000,30670.0000,0.1251,119.8047,0.0000,0.0000,30670.0000,0.1251,0.0000,119.8047,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.0000,0.0347,12.0000,0.0291,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,28.1553,3.8835,24.2718,0.0000,0.0000
rd1,20,999988.0000,31839.0000,0.1198,124.3711,0.0000,0.0000,31839.0000,0.1198,0.0000,124.3711,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.0000,0.3840,13.0000,0.1612,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,27.7228,5.9406,21.7822,0.0000,0.0000
rd1,21,999988.0000,31670.0000,0.1152,123.7109,0.0000,0.0000,31670.0000,0.1152,0.0000,123.7109,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.0000,0.0363,12.0000,0.0318,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,31.6832,8.9109,22.7723,0.0000,0.0000
rd1,22,999988.0000,28549.0000,0.1329,111.5195,0.0000,0.0000,28549.0000,0.1329,0.0000,111.5195,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.0000,0.0313,11.0000,0.0290,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,31.7308,4.8077,26.9231,0.0000,0.0000
